Dataset	ScanNumber	Ion Injection Time (ms)	Scan Event	Elapsed Scan Time (sec)	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
206281	259	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.15
206281	260	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.13
206281	261	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.13
206281	262	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	263	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	264	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.13
206281	265	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.13
206281	266	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.13
206281	267	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.13
206281	268	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.13
206281	269	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	270	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.12
206281	271	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	272	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.12
206281	273	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.12
206281	274	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.12
206281	275	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.12
206281	276	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.12
206281	277	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.11
206281	278	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.11
206281	279	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.11
206281	280	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.11
206281	281	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.11
206281	282	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.11
206281	283	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.11
206281	284	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.11
206281	285	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.11
206281	286	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	287	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	288	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	289	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	290	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	291	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	292	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	293	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	294	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.16
206281	295	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.16
206281	296	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.16
206281	297	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.16
206281	298	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.16
206281	299	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.16
206281	300	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.16
206281	301	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.16
206281	302	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.12
206281	303	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.12
206281	304	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.12
206281	305	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	306	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.12
206281	307	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	308	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.12
206281	309	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.12
206281	310	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.12
206281	311	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.12
206281	312	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.12
206281	313	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.12
206281	314	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.12
206281	315	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.12
206281	316	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.12
206281	317	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	318	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.12
206281	319	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	320	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	321	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.14
206281	322	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	323	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	324	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	325	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	326	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	327	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	328	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	329	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	330	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	331	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	332	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	333	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.14
206281	334	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	335	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	336	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.12
206281	337	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.12
206281	338	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.12
206281	339	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.12
206281	340	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.12
206281	341	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	342	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.12
206281	343	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	344	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.12
206281	345	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.13
206281	346	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	347	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	348	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.13
206281	349	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.13
206281	350	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.13
206281	351	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.13
206281	352	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.13
206281	353	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	354	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	355	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	356	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	357	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.14
206281	358	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	359	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	360	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	361	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	362	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	363	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.15
206281	364	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.15
206281	365	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.15
206281	366	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.15
206281	367	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.15
206281	368	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.15
206281	369	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	370	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.11
206281	371	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.11
206281	372	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.11
206281	373	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.11
206281	374	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.11
206281	375	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.11
206281	376	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.11
206281	377	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.11
206281	378	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.15
206281	379	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.15
206281	380	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.15
206281	381	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	382	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.15
206281	383	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.15
206281	384	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.15
206281	385	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	386	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	387	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	388	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	389	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	390	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	391	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	392	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	393	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.14
206281	394	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	395	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.12
206281	396	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.12
206281	397	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.12
206281	398	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.12
206281	399	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.12
206281	400	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.12
206281	401	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	402	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.12
206281	403	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	404	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.15
206281	405	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	406	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.15
206281	407	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.15
206281	408	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.15
206281	409	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	410	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	411	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.15
206281	412	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.15
206281	413	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	414	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.12
206281	415	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	416	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.12
206281	417	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.12
206281	418	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.12
206281	419	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.12
206281	420	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	421	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	422	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	423	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	424	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	425	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	426	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	427	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	428	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	429	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	430	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.15
206281	431	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.15
206281	432	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.15
206281	433	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	434	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	435	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.15
206281	436	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.15
206281	437	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.15
206281	438	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.15
206281	439	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.15
206281	440	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.15
206281	441	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	442	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.15
206281	443	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.15
206281	444	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.15
206281	445	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	446	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	447	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	448	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	449	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	450	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	451	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	452	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	453	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.14
206281	454	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	455	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	456	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.13
206281	457	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.13
206281	458	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.13
206281	459	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.13
206281	460	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.13
206281	461	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.13
206281	462	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.13
206281	463	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	464	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	465	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.14
206281	466	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.14
206281	467	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	468	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	469	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	470	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	471	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	472	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.11
206281	473	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.11
206281	474	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.11
206281	475	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.11
206281	476	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.11
206281	477	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.11
206281	478	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.11
206281	479	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.11
206281	480	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.11
206281	481	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.11
206281	482	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.11
206281	483	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.11
206281	484	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.11
206281	485	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.11
206281	486	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.11
206281	487	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.11
206281	488	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.11
206281	489	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.11
206281	490	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.11
206281	491	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.11
206281	492	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.11
206281	493	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.11
206281	494	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.11
206281	495	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.11
