Dataset	ScanNumber	Ion Injection Time (ms)	Analyzer Temperature	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	PS Inj. Time (ms)	Analog Input 1 (V)	Analog Input 2 (V)	Scan Filter Text
301469	31	100.000	30.60	67831356.0249	-15925986.4946	-5.07	-0.08	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	32	100.000	30.60	67831357.1511	-15925987.0235	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	33	100.000	30.60	67831357.2199	-15925987.0559	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	34	100.000	30.60	67831357.3889	-15925987.1349	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	35	100.000	30.60	67831357.4784	-15925987.1778	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	36	100.000	30.60	67831357.2627	-15925987.0761	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	37	100.000	30.60	67831357.3491	-15925987.1160	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	38	100.000	30.60	67831357.8129	-15925987.3339	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	39	100.000	30.60	67831358.0912	-15925987.4649	-5.07	-0.07	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	40	100.000	30.60	67831358.3034	-15925987.5641	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	41	100.000	30.60	67831357.2131	-15925987.0521	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	42	100.000	30.60	67831357.5872	-15925987.2287	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	43	100.000	30.60	67831357.5082	-15925987.1916	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	44	100.000	30.60	67831359.6414	-15925988.1927	-5.07	-0.06	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	45	100.000	30.60	67831358.8595	-15925987.8255	-5.07	-0.06	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	46	100.000	30.60	67831359.7951	-15925988.2653	-5.07	-0.05	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	47	100.000	30.60	67831362.2634	-15925989.4238	-5.07	-0.04	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	48	100.000	30.60	67831362.2523	-15925989.4184	-5.07	-0.04	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	49	100.000	30.60	67831361.9436	-15925989.2740	-5.07	-0.04	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	50	100.000	30.60	67831362.5939	-15925989.5794	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	51	100.000	30.60	67831362.6588	-15925989.6104	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	52	100.000	30.60	67831362.9588	-15925989.7505	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	53	100.000	30.60	67831362.6559	-15925989.6080	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	54	100.000	30.60	67831363.1497	-15925989.8402	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	55	100.000	30.60	67831362.7914	-15925989.6719	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	56	100.000	30.60	67831362.2483	-15925989.4169	-5.07	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	57	100.000	30.60	67831362.6633	-15925989.6109	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
