Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
407579	190	0.270	1.78	1	223.0155	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	191	0.257	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	192	0.257	1.78	1	223.0204	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	193	0.249	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	194	0.261	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	195	0.242	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.78
407579	196	0.250	1.78	1	223.0520	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	197	0.239	1.78	1	223.0446	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	198	0.242	1.78	1	223.0076	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	199	0.211	1.78	1	223.0287	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	200	0.262	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	201	0.256	1.78	1	223.0223	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	202	0.261	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	203	0.261	1.78	1	223.0748	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	204	0.285	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	205	0.268	1.78	1	223.0051	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	206	0.255	1.78	1	223.0267	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
407579	207	0.271	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	208	0.258	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	209	0.245	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
407579	210	0.250	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.75
407579	211	0.265	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	212	0.264	1.78	1	223.0228	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	213	0.257	1.78	1	223.0632	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	214	0.234	1.78	1	223.0097	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	215	0.218	1.78	1	223.0224	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
