Dataset	ScanNumber	Micro Scan Count	Ion Injection Time (ms)	Elapsed Scan Time (sec)	API Source CID Energy	Average Scan by Inst	Charge State	Monoisotopic M/Z	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
400657	43	3	23.648	2.64	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.44	160.00
400657	44	3	22.942	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.46	159.94
400657	45	3	19.701	2.63	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.46	159.94
400657	46	3	21.633	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.46	160.00
400657	47	3	21.659	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.38	159.91
400657	48	3	24.381	2.64	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.43	160.12
400657	49	3	22.358	2.64	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.45	159.91
400657	50	3	20.718	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.40	160.00
400657	51	3	21.705	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.42	160.09
400657	52	3	23.520	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.41	159.79
400657	53	3	25.687	2.66	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.43	160.00
400657	54	3	23.835	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.44	159.88
400657	55	3	21.915	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.44	160.15
400657	56	3	23.324	2.63	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.43	160.15
400657	57	3	24.650	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.40	159.91
400657	58	3	23.942	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.39	160.12
400657	59	3	23.365	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.44	160.00
400657	60	3	24.843	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.39	160.27
400657	61	3	24.500	2.65	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.40	159.97
400657	62	3	24.977	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.38	159.94
400657	63	3	22.514	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.44	160.06
400657	64	3	22.422	2.64	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.42	160.24
400657	65	3	25.199	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.42	159.97
400657	66	3	30.387	2.67	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.42	160.03
400657	67	3	25.459	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.39	159.88
400657	68	3	24.861	2.64	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.38	159.91
400657	69	3	24.129	2.64	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.38	159.91
400657	70	3	26.573	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.38	160.00
400657	71	3	27.627	2.66	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.38	159.94
400657	72	3	25.731	2.65	0	No	1	393.0845	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.39	159.94
400657	73	3	222.235	3.24	0	No	1	289.1541	T=4e6	Ufill=0.34 RF=2300V	240000	148270713.409	4735634.669	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.39	160.06
400657	74	3	300.000	3.48	0	No	1	289.1541	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0.03	160.12
400657	75	3	300.000	3.47	0	No	1	555.3191	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0.01	160.18
400657	76	3	300.000	3.47	0	No	1	555.3189	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0	160.18
400657	77	3	156.572	3.04	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0.01	160.06
400657	78	3	122.576	2.94	0	No	1	555.3175	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0.11	160.12
400657	79	3	300.000	3.48	0	No	1	289.1542	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0.07	160.27
400657	80	3	300.000	3.46	0	No	1	555.3192	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.90	0.03	159.91
400657	81	3	51.707	2.72	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.36	160.00
400657	82	3	32.902	2.68	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.32	159.73
400657	83	3	31.775	2.67	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.35	159.88
400657	84	3	29.468	2.66	0	No	1	393.0846	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.35	159.97
400657	85	3	27.170	2.66	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.31	159.82
400657	86	3	26.609	2.65	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.36	159.97
400657	87	3	30.506	2.67	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.37	160.03
400657	88	3	300.000	3.44	0	No	1	289.1539	T=4e6	Ufill=0.48 RF=2300V	240000	148270614.705	4735628.365	FTMS + p NSI Full ms [210.00-2000.00]	1.80	0.04	160.00
400657	89	3	300.000	3.48	0	No	0	0	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.80	0.02	160.03
400657	90	3	300.000	3.47	0	No	0	0	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.80	0.01	160.03
400657	91	3	300.000	3.47	0	No	0	0	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.80	-0.01	159.88
400657	92	3	300.000	3.47	0	No	0	0	T=4e6	Ufill=0.01 RF=2300V	240000	148270850.212	4735643.408	FTMS + p NSI Full ms [210.00-2000.00]	1.80	0.01	160.15
400657	93	3	48.377	2.70	0	No	0	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.46	159.91
400657	94	3	23.000	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.40	160.03
400657	95	3	23.005	2.63	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.40	160.03
400657	96	3	23.011	2.65	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.49	0.39	160.00
400657	97	3	23.679	2.64	0	No	3	0	T=4e6	RF=2300V	240000	148270421.932	4735616.046	FTMS + p NSI Full ms [210.00-2000.00]	2.50	0.39	160.09
