Dataset	ScanNumber	Scan Filter Text	Source Temperature
251367	326	+ c EI Q1MS [50.000-600.000]	250.23
251367	327	+ c EI Q1MS [50.000-600.000]	250.23
251367	328	+ c EI Q1MS [50.000-600.000]	250.23
251367	329	+ c EI Q1MS [50.000-600.000]	250.23
251367	330	+ c EI Q1MS [50.000-600.000]	250.23
251367	331	+ c EI Q1MS [50.000-600.000]	250.23
251367	332	+ c EI Q1MS [50.000-600.000]	250.23
251367	333	+ c EI Q1MS [50.000-600.000]	250.17
251367	334	+ c EI Q1MS [50.000-600.000]	250.17
251367	335	+ c EI Q1MS [50.000-600.000]	250.17
251367	336	+ c EI Q1MS [50.000-600.000]	250.17
251367	337	+ c EI Q1MS [50.000-600.000]	250.17
251367	338	+ c EI Q1MS [50.000-600.000]	250.17
251367	339	+ c EI Q1MS [50.000-600.000]	250.17
251367	340	+ c EI Q1MS [50.000-600.000]	250.17
251367	341	+ c EI Q1MS [50.000-600.000]	250.17
251367	342	+ c EI Q1MS [50.000-600.000]	250.17
251367	343	+ c EI Q1MS [50.000-600.000]	250.17
251367	344	+ c EI Q1MS [50.000-600.000]	250.17
251367	345	+ c EI Q1MS [50.000-600.000]	250.17
251367	346	+ c EI Q1MS [50.000-600.000]	250.17
251367	347	+ c EI Q1MS [50.000-600.000]	250.17
251367	348	+ c EI Q1MS [50.000-600.000]	250.17
251367	349	+ c EI Q1MS [50.000-600.000]	250.17
251367	350	+ c EI Q1MS [50.000-600.000]	250.17
251367	351	+ c EI Q1MS [50.000-600.000]	250.17
251367	352	+ c EI Q1MS [50.000-600.000]	250.17
251367	353	+ c EI Q1MS [50.000-600.000]	250.17
251367	354	+ c EI Q1MS [50.000-600.000]	250.17
251367	355	+ c EI Q1MS [50.000-600.000]	250.17
251367	356	+ c EI Q1MS [50.000-600.000]	250.51
251367	357	+ c EI Q1MS [50.000-600.000]	250.51
251367	358	+ c EI Q1MS [50.000-600.000]	250.51
251367	359	+ c EI Q1MS [50.000-600.000]	250.51
251367	360	+ c EI Q1MS [50.000-600.000]	250.51
251367	361	+ c EI Q1MS [50.000-600.000]	250.51
251367	362	+ c EI Q1MS [50.000-600.000]	250.51
251367	363	+ c EI Q1MS [50.000-600.000]	250.45
251367	364	+ c EI Q1MS [50.000-600.000]	250.45
251367	365	+ c EI Q1MS [50.000-600.000]	250.45
251367	366	+ c EI Q1MS [50.000-600.000]	250.45
251367	367	+ c EI Q1MS [50.000-600.000]	250.45
