Dataset	ScanNumber	Elapsed Scan Time (sec)	Average Scan by Inst	Micro Scan count	Collision Mode	Scan Filter Text	Source Temperature
232087	122	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.17
232087	123	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.17
232087	124	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.17
232087	125	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.17
232087	126	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.17
232087	127	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.17
232087	128	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.17
232087	129	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.17
232087	130	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.17
232087	131	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.17
232087	132	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.17
232087	133	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.17
232087	134	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.17
232087	135	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.17
232087	136	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.17
232087	137	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.17
232087	138	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.17
232087	139	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.17
232087	140	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.17
232087	141	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.17
232087	142	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.17
232087	143	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.17
232087	144	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.17
232087	145	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.17
232087	146	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.17
232087	147	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.17
232087	148	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.17
232087	149	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.17
232087	150	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.17
232087	151	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.17
232087	152	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.17
232087	153	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.17
232087	154	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.17
232087	155	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.17
232087	156	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.17
232087	157	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	158	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	159	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	160	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	161	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	162	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	163	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	164	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	165	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	166	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	167	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	168	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	169	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.45
232087	170	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.45
232087	171	0.02	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.45
232087	172	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.45
232087	173	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.45
232087	174	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.45
232087	175	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.45
232087	176	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	177	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	178	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	179	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	180	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	181	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	182	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	183	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	184	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	185	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	186	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	187	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	188	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.45
232087	189	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.45
232087	190	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.45
232087	191	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.45
232087	192	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.45
232087	193	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.45
232087	194	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.45
232087	195	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	196	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	197	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	198	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	199	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	200	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	201	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	202	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	203	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	204	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	205	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	206	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	207	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.45
232087	208	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.45
232087	209	0.02	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.45
232087	210	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.45
232087	211	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.45
232087	212	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.45
232087	213	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.45
232087	214	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	215	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	216	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	217	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	218	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	219	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	220	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	221	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	222	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	223	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	224	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	225	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	226	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.45
232087	227	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.45
232087	228	0.02	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.45
232087	229	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.45
232087	230	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.45
232087	231	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.45
232087	232	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.45
232087	233	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	234	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	235	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	236	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	237	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	238	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	239	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	240	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	241	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	242	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	243	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	244	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	245	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.45
232087	246	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.45
232087	247	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.45
232087	248	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.45
232087	249	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.45
232087	250	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.45
232087	251	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.45
232087	252	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	253	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	254	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	255	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	256	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	257	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	258	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	259	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	260	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	261	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	262	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	263	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	264	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.45
232087	265	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.45
232087	266	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.45
232087	267	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.45
232087	268	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.45
232087	269	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.45
232087	270	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.45
232087	271	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.45
232087	272	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.45
232087	273	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.45
232087	274	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.45
232087	275	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.45
232087	276	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.45
232087	277	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.45
232087	278	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.45
232087	279	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.45
232087	280	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.45
232087	281	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.45
232087	282	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.45
232087	283	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.36
232087	284	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.36
232087	285	0.02	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.36
232087	286	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.36
