Dataset	ScanNumber	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
205812	279	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.19	0.10
205812	280	36.974	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.19	0.10
205812	281	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.19	0.10
205812	282	29.682	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.19	0.10
205812	283	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.19	0.10
205812	284	25.598	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	285	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	286	33.931	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	287	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	288	33.182	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	289	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	290	28.432	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	291	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	292	32.799	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	293	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	294	24.991	2	1	0.13	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	295	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	296	29.564	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	297	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	298	31.956	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	299	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	300	33.611	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	301	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	302	29.488	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.10
205812	303	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	304	30.298	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	305	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	306	28.034	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.08
205812	307	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	308	27.395	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.08
205812	309	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	310	30.486	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.08
205812	311	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	312	25.690	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.08
205812	313	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	314	33.182	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.08
205812	315	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	316	28.242	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	317	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	318	33.916	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	319	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	320	33.526	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	321	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	322	25.697	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	323	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	324	32.065	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	325	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	326	26.657	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	327	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	328	23.653	2	1	0.13	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	329	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	330	31.395	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	331	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	332	35.204	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	333	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	334	32.219	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	335	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	336	35.088	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	337	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	338	28.143	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	339	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	340	34.774	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	341	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	342	32.618	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	343	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	344	23.324	2	1	0.13	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.10
205812	345	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	346	31.624	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	347	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	348	32.867	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	349	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	350	30.670	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	351	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	352	31.070	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	353	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	354	41.031	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	355	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	356	32.624	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	357	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	358	29.101	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	359	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	360	38.487	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	361	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	362	35.169	2	1	0.15	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	363	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	364	25.166	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	365	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	366	32.014	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	367	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	368	29.584	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	369	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	370	35.765	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	371	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	372	34.001	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	373	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	374	31.856	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	375	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	376	33.116	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	377	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	378	42.937	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	379	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	380	31.763	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	381	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	382	28.812	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	383	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	384	35.375	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	385	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	386	32.145	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	387	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	388	31.185	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	389	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	390	31.713	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	391	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	392	29.855	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	393	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	394	26.006	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	395	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	396	24.998	2	1	0.13	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	397	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	398	41.206	2	1	0.15	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	399	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	400	40.751	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	401	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	402	34.547	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	403	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	404	33.040	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	405	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	406	31.256	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	407	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	408	25.975	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	409	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	410	25.645	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	411	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	412	30.618	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	413	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.10
205812	414	36.849	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.10
205812	415	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	416	43.626	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	417	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	418	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.09
205812	419	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	420	49.255	2	1	0.16	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.09
205812	421	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	422	27.409	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	423	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	424	30.181	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	425	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	426	27.069	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	427	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	428	22.698	2	1	0.13	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	429	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	430	29.010	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	431	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
