Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	521	Predicted	0.355	0.135	30000	1	498	0	3	-26.01	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	411768.9	0.023	hcd	FTMS + c ESI d Full ms2 433.9023@hcd30.00 [100.0000-1312.0000]	2.555
706505	522	Predicted	7.268	0.246	30000	1	498	0	2	-35.71	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	637554.2	0.028	hcd	FTMS + c ESI d Full ms2 648.8460@hcd30.00 [100.0000-1308.0000]	2.555
706505	523	Predicted	0.432	0.204	30000	1	520	0	3	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	591766.2	-0.008	etd	FTMS + c ESI d Full ms2 432.8998@etd53.99 [100.0000-1309.0000]	2.555
706505	524	Predicted	0.409	0.180	30000	1	520	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	404725.9	-0.087	sa_hcd	FTMS + c ESI d sa Full ms2 432.8998@etd53.99 432.8998@hcd30.00 [100.0000-1309.0000]	2.555
706505	525	Predicted	0.409	0.197	30000	1	520	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	492697.2	-0.022	sa_cid	FTMS + c ESI d sa Full ms2 432.8998@etd53.99 432.8998@cid30.00 [100.0000-1309.0000]	2.555
706505	526	Predicted	0.470	0.177	30000	1	521	0	3	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	389899.1	-0.019	etd	FTMS + c ESI d Full ms2 433.9023@etd53.99 [100.0000-1312.0000]	2.555
706505	527	Predicted	0.427	0.180	30000	1	521	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	397838.9	-0.039	sa_hcd	FTMS + c ESI d sa Full ms2 433.9023@etd53.99 433.9023@hcd30.00 [100.0000-1312.0000]	2.555
706505	528	Predicted	0.427	0.197	30000	1	521	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	408826.1	-0.073	sa_cid	FTMS + c ESI d sa Full ms2 433.9023@etd53.99 433.9023@cid30.00 [100.0000-1312.0000]	2.555
706505	529	Predicted	10.338	0.254	30000	1	522	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	473942.7	-0.013	etd	FTMS + c ESI d Full ms2 648.8460@etd121.47 [100.0000-1308.0000]	2.555
706505	530	Predicted	9.136	0.256	30000	1	522	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	443786.0	0.005	sa_hcd	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@hcd30.00 [100.0000-1308.0000]	2.555
706505	531	Predicted	9.136	0.263	30000	1	522	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	453076.9	-0.022	sa_cid	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@cid30.00 [100.0000-1308.0000]	2.555
706505	532	Predicted	23.173	0.135	30000	1	498	0	2	-29.41	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	643054.6	0	hcd	FTMS + c ESI d Full ms2 513.2820@hcd30.00 [100.0000-1037.0000]	2.555
706505	533	Predicted	10.284	0.135	30000	1	498	0	2	-35.76	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	636753.4	0.040	hcd	FTMS + c ESI d Full ms2 649.8490@hcd30.00 [100.0000-1310.0000]	2.555
706505	534	Predicted	29.988	0.274	30000	1	532	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	361514.2	0	etd	FTMS + c ESI d Full ms2 513.2820@etd121.47 [100.0000-1037.0000]	2.557
706505	535	Predicted	28.246	0.275	30000	1	532	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	388181.3	-0.012	sa_hcd	FTMS + c ESI d sa Full ms2 513.2820@etd121.47 513.2820@hcd30.00 [100.0000-1037.0000]	2.557
706505	536	Predicted	28.246	0.282	30000	1	532	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	363738.4	-0.065	sa_cid	FTMS + c ESI d sa Full ms2 513.2820@etd121.47 513.2820@cid30.00 [100.0000-1037.0000]	2.557
